owner_id,days_since_application,number_of_shows,baseline_matches,relax_price_minus_matches,delta_price,suggested_price,price_message
000f06c2-872e-96e6-dd72-c50e8e92923e,46,0,38,38,0,1300.0,
01d737e9-04da-6b4e-6278-75e3469a56b2,33,0,52,52,0,1300.0,
02094f83-523e-3064-9d70-e602aa3cd385,42,0,34,38,4,2300.0,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $2300, your potential matches could increase from 34 to ~38. This may help attract more qualified applicants and accelerate scheduling."
0254aff7-280e-028e-ed0e-1799a1c01621,38,1,28,29,1,1400.0,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1400, your potential matches could increase from 28 to ~29. This may help attract more qualified applicants and accelerate scheduling."
02a670a7-0f3f-7980-6fb7-074b5e7b2965,41,0,47,47,0,1000.0,
02b4e766-49ac-9335-d2b9-dae7968f9b90,42,0,25,25,0,2800.0,
030a303c-223a-dae0-fbe0-ab4d42a1ffb2,39,0,55,55,0,1300.0,
036d69a0-ce51-0154-be7c-bb70695686c5,33,0,27,27,0,1800.0,
03804b8c-392e-7edc-0088-699158afc658,41,0,38,38,0,1800.0,
03dd3b70-eec8-0544-d8ea-13ec62bfbf5d,32,0,38,40,2,1600.0,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 38 to ~40. This may help attract more qualified applicants and accelerate scheduling."
0441c7e3-1b0d-8c58-4ac4-9a26ac0fdb8f,38,0,34,37,3,1600.0,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 34 to ~37. This may help attract more qualified applicants and accelerate scheduling."
044e9ae9-c6a7-c53d-a570-2a26b4e455ed,44,0,41,41,0,1400.0,
07d1250b-9691-22f5-0bda-1f69a8ea755a,44,0,27,27,0,1800.0,
08c1f1fd-b79d-0198-09b6-fcfefed6f71c,42,0,39,40,1,600.0,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $600, your potential matches could increase from 39 to ~40. This may help attract more qualified applicants and accelerate scheduling."
08e4238b-7eb7-a02d-4635-06c3385cd62d,30,0,39,43,4,2300.0,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $2300, your potential matches could increase from 39 to ~43. This may help attract more qualified applicants and accelerate scheduling."
08f44c3c-106a-7dc0-7c6d-75ee961e08e5,30,0,53,53,0,1300.0,
09533d7f-92d4-a0aa-bad7-7fe7171e9849,44,1,29,30,1,2800.0,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $2800, your potential matches could increase from 29 to ~30. This may help attract more qualified applicants and accelerate scheduling."
099901dd-41fc-750e-d336-99fdcc8e6bfc,30,0,36,37,1,2300.0,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $2300, your potential matches could increase from 36 to ~37. This may help attract more qualified applicants and accelerate scheduling."
09f4618b-3551-07ad-f568-f34dd07be5ae,44,0,31,33,2,2300.0,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $2300, your potential matches could increase from 31 to ~33. This may help attract more qualified applicants and accelerate scheduling."
0a864098-f610-5e72-a152-bea6df1f0f5f,32,0,42,43,1,1600.0,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 42 to ~43. This may help attract more qualified applicants and accelerate scheduling."
0bb57fd9-67c7-5512-a93f-9ba81e8e0a6f,43,0,47,47,0,1800.0,
0be3960f-d300-3ebf-7243-4ea1deae8d34,44,0,38,38,0,2300.0,
0c0f1965-af7d-469a-4b20-f107f719dfed,40,0,27,27,0,2800.0,
0c480d4b-f11f-f1d0-55a7-97c14650c56f,46,0,34,35,1,1600.0,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 34 to ~35. This may help attract more qualified applicants and accelerate scheduling."
0c5d2803-431d-8623-38db-94261add7a9a,41,0,37,42,5,1600.0,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 37 to ~42. This may help attract more qualified applicants and accelerate scheduling."
0cf35d25-50fe-68c4-1e08-01bffeb4d105,40,0,54,54,0,1600.0,
0d026a69-0a1f-11e4-7ac8-89529bf322b9,43,0,37,37,0,1300.0,
0e37bffe-c95a-f805-08f6-ec59948c112f,39,0,43,45,2,1600.0,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 43 to ~45. This may help attract more qualified applicants and accelerate scheduling."
0eabfe9f-825c-9a35-8808-c1825bf180b3,43,0,29,30,1,1900.0,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1900, your potential matches could increase from 29 to ~30. This may help attract more qualified applicants and accelerate scheduling."
0ed70366-41f2-f143-4a62-fef3499f10d4,44,0,40,40,0,1000.0,
0eecff24-f85c-102f-9147-3140d009f2e6,46,0,30,31,1,1600.0,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 30 to ~31. This may help attract more qualified applicants and accelerate scheduling."
0efc5310-e014-a3d9-94ec-3537b75d01b1,44,1,47,47,0,1300.0,
0f094665-5540-7971-bf75-b791cad7380e,41,0,56,58,2,1600.0,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 56 to ~58. This may help attract more qualified applicants and accelerate scheduling."
0f73dd57-8c43-947d-aa2c-d483deb7c29b,32,0,24,24,0,2800.0,
1047fdca-c5a9-c7bf-44a2-7d629e9e50cd,46,0,60,60,0,1300.0,
11597725-b16a-28d7-87d5-a4bf0cabef4c,38,0,45,47,2,1900.0,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1900, your potential matches could increase from 45 to ~47. This may help attract more qualified applicants and accelerate scheduling."
1210b370-e1e4-bb75-42c0-6c882d968797,40,0,53,53,0,1300.0,
13904311-02e1-d264-3a83-0096bad9c61d,42,0,28,28,0,2200.0,
13971080-e89f-c7d9-30cf-613b7487f0c9,45,0,55,55,0,1300.0,
140d392e-7413-1263-a9ca-770865306117,39,0,46,46,0,2200.0,
