user_id,days_since_application,number_of_shows,suggested_bedrooms,delta_bedrooms,suggested_budget,delta_budget,message
0025d524-935f-6e94-0e53-ee262d848ce6,39,1,0,1,,,"consider 0 bedroom(s), ~+1 matches"
02d2cc3a-23b3-0361-776c-0480c369f2d6,33,0,2,17,,,"consider 2 bedroom(s), ~+17 matches"
031c6fe9-744d-3c94-196e-48997db0d8f2,37,0,1,4,,,"consider 1 bedroom(s), ~+4 matches"
0422535c-58ad-ac69-c236-1dec59b11dd1,38,0,,,2600,6,"extend budget to $2600, ~+6 matches"
04c554a1-8770-b58b-df8e-d9c1c2b056a9,46,0,0,1,,,"consider 0 bedroom(s), ~+1 matches"
0aa83f88-5fb8-2c57-1b68-3bb50042f9f2,39,0,1,48,,,"consider 1 bedroom(s), ~+48 matches"
0c91e7db-1f55-95d2-2c41-8b7e3ff1e026,37,0,,,2200,8,"extend budget to $2200, ~+8 matches"
0ebe37ac-c5ac-1c90-9601-d12f03a526f2,41,0,1,35,,,"consider 1 bedroom(s), ~+35 matches"
0fe2ba33-67a9-52b2-023a-fb3f04c2467f,41,0,,,2200,13,"extend budget to $2200, ~+13 matches"
11860e20-683e-fda9-5f1b-964daf2c43c5,33,0,1,3,,,"consider 1 bedroom(s), ~+3 matches"
13a820e9-ec61-16a7-efbe-9ab687594fd1,46,0,,,1800,9,"extend budget to $1800, ~+9 matches"
16d86a17-99da-815b-dd68-a5d9c229d626,41,0,2,3,,,"consider 2 bedroom(s), ~+3 matches"
199c2b60-8897-f863-01b1-57bfa9824fcf,37,0,1,34,,,"consider 1 bedroom(s), ~+34 matches"
19f720b8-283f-6ef2-c741-9fd4b7e43aa9,39,0,1,33,,,"consider 1 bedroom(s), ~+33 matches"
1ab700a0-5c68-6d77-4b8e-b14f14927173,33,0,4,6,,,"consider 4 bedroom(s), ~+6 matches"
1b3dafdd-c068-5a4a-a23c-9734244b4af8,45,1,1,46,,,"consider 1 bedroom(s), ~+46 matches"
1d106037-8b71-de31-685e-779958859bd1,41,1,0,1,2600,6,"consider 0 bedroom(s), ~+1 matches & extend budget to $2600, ~+6 matches"
1d68208f-0718-7a20-2564-928f16db2a59,33,0,3,8,,,"consider 3 bedroom(s), ~+8 matches"
1e40f8a0-a69f-ab66-f61f-85fe66d3f641,33,0,1,34,,,"consider 1 bedroom(s), ~+34 matches"
1f56da48-6ebc-00ca-d37a-0cc18834e60a,45,0,1,43,,,"consider 1 bedroom(s), ~+43 matches"
1fd3d90a-1b59-ba85-defd-a749cfb80e0e,46,0,2,11,,,"consider 2 bedroom(s), ~+11 matches"
221550e9-bbd1-c264-4b32-de6530ff1c78,30,0,1,38,,,"consider 1 bedroom(s), ~+38 matches"
221cf2ac-3db2-5059-a61d-99ebeee0f0fd,46,0,,,2200,7,"extend budget to $2200, ~+7 matches"
224529ec-9392-3531-9732-be84c937227a,35,0,1,48,,,"consider 1 bedroom(s), ~+48 matches"
23b7d142-b8e4-7d86-d75b-7e05fc4303f3,30,0,,,1800,10,"extend budget to $1800, ~+10 matches"
23ccaed8-18b6-c297-bcd5-b8227964167c,39,0,3,4,,,"consider 3 bedroom(s), ~+4 matches"
251def9b-2c59-8c1c-85a5-87049bf185c3,46,0,1,36,,,"consider 1 bedroom(s), ~+36 matches"
253704a5-0e87-ef7b-8e0e-75f7090d706c,33,0,,,2500,4,"extend budget to $2500, ~+4 matches"
2623bdd2-2f3e-cb6f-34c3-638000b86f57,46,0,,,2200,6,"extend budget to $2200, ~+6 matches"
271ddb91-801f-3dc3-6562-f7298f506072,40,0,1,3,,,"consider 1 bedroom(s), ~+3 matches"
29e236db-6553-6de9-cb0a-9de33d269f76,37,0,0,1,,,"consider 0 bedroom(s), ~+1 matches"
2a03fc5a-4ddd-56fe-d6fe-4451daaa43d3,31,0,1,5,,,"consider 1 bedroom(s), ~+5 matches"
