user_id,days_since_application,number_of_shows,baseline_matches,relax_bedrooms_minus_matches,delta_bedrooms,suggested_bedrooms,bedrooms_message,relax_budget_plus_matches,delta_budget,suggested_budget,budget_message
0025d524-935f-6e94-0e53-ee262d848ce6,37,0,250,250,0,0,,250,0,3100.0,
0052d54b-39dc-bc06-adb5-38eb13efeac0,33,0,209,209,0,0,,209,0,,
00c74781-0965-898f-4d9b-81d17f64ee9e,34,0,13,13,0,0,,13,0,,
00fcfe9b-c638-a209-7f53-a39bba1b4453,35,0,197,197,0,0,,197,0,3100.0,
0162c285-27a9-a69c-d7c1-39ba228be89c,32,0,134,134,0,0,,134,0,1300.0,
01716881-aa94-41df-6007-e903377f7c91,34,0,207,207,0,0,,207,0,,
01960127-2a25-6c16-d5ac-23d20a0881b2,33,0,247,247,0,0,,247,0,,
02543539-fea9-19fd-d10d-3bfe6d0b1279,40,0,191,191,0,0,,191,0,,
026b0e62-46cd-0bd9-00f1-9ecf400f1902,39,0,44,44,0,0,,44,0,,
02d2cc3a-23b3-0361-776c-0480c369f2d6,31,0,22,62,40,2,"Hi! We noticed your application has had limited opportunities. If you can consider places with 2 bedroom(s), your potential matches could increase from 22 to ~62. This small adjustment might improve your chances of getting invited to a showing.",22,0,2500.0,
031c6fe9-744d-3c94-196e-48997db0d8f2,35,0,36,127,91,1,"Hi! We noticed your application has had limited opportunities. If you can consider places with 1 bedroom(s), your potential matches could increase from 36 to ~127. This small adjustment might improve your chances of getting invited to a showing.",36,0,1300.0,
0422535c-58ad-ac69-c236-1dec59b11dd1,36,0,187,187,0,0,,201,14,2500.0,"Hi! We noticed your application has had limited opportunities. If you can extend your budget to about $2500 per month, your potential matches could increase from 187 to ~201. This may help you receive more viewing invitations."
04c554a1-8770-b58b-df8e-d9c1c2b056a9,44,0,205,205,0,0,,205,0,,
05133baa-8b08-4104-16f6-8a48535a9f51,42,0,60,60,0,0,,60,0,,
05553f9b-6d2c-f800-61e7-cc2bc834aa94,39,0,11,11,0,0,,11,0,900.0,
080c466d-909f-15d1-6069-f5a2c0633853,34,0,124,124,0,0,,124,0,1300.0,
08aa3a72-4325-b3f0-2506-50e514345189,37,0,5,5,0,0,,5,0,,
097a26be-7d8d-ed04-2cb7-3e7e3f2ba0f4,37,0,3,3,0,0,,3,0,2600.0,
0aa83f88-5fb8-2c57-1b68-3bb50042f9f2,37,0,10,18,8,1,"Hi! We noticed your application has had limited opportunities. If you can consider places with 1 bedroom(s), your potential matches could increase from 10 to ~18. This small adjustment might improve your chances of getting invited to a showing.",10,0,,
0c91e7db-1f55-95d2-2c41-8b7e3ff1e026,35,0,204,204,0,0,,204,0,2100.0,
